Estado;macroreg;total;positivos;metodo;referencia
Santa Catarina;centrosul;314;118;IF;CAMPIGOTTO et al. 2017
Sergipe;nordamaz;1200;481;IFI;RIZZO et. al. 2017
Pernambuco;nordamaz;332;34;IFI;ARRAES-SANTOS et al. 2016 
Rio Grande do Sul;centrosul;300;124;IFI; FERREIRA et al. 2016
Parana;centrosul;81;33;IFI;GHELLER et ai. 2016
Pernambuco;nordamaz;240;204;IFI;MAGALHAES et al. 2016
Rio Grande do Sul;centrosul;411;83;IFI;OLIVEIRA et al. 2016
Piaui;nordamaz;623;350;ELISA;REGO et al. 2016
Paraiba;nordamaz;540;60;IFI;CORREIA et al. 2015
Tocantins;nordamaz;182;25;IFI;GUIMARAES et al. 2015
Santa Catarina;centrosul;1308;731;IFI;MOURA et al. 2015
Alagoas;nordamaz;100;14;IFI;NUNES et al. 2015
Mato Grosso do Sul;centrosul;410;138;IFI;OSHIRO et al. 2015
Pernambuco;nordamaz;50;13;IFI     ;BEZERRA et al. 2014
Piaui;nordamaz;249;168;ELISA;CAVALCANTE et al. 2014
Rio de Janeiro;centrosul;379;202;MAT;COSENDEY-KEZENLEITE et al. 2014
Rio Grande do Norte;nordamaz;930;205;ELISA;ANDRADE et al. 2013
Minas Gerais;centrosul;250;144;IFI;BASSI et al. 2013
 Bahia;nordamaz;795;240;IFI;GUIMARAES et al. 2013
Pernambuco;nordamaz;250;34;IFI;LUCIO et al. 2013
Sergipe;nordamaz;932;263;IFI;MENDON€A et al. 2013
Parana;centrosul;339;185;IFI;OGAWA et al. 2013
Pernambuco;nordamaz;97;59;IFI;COSTA et al. 2012
Mato Grosso;nordamaz;273;84;HAI;JUSTO et al. 2012
Pernambuco;nordamaz;95;16;IFI;PEREIRA et al. 2012
Santa Catarina;centrosul;360;205;IFI;SAKATA et al. 2012
Espirito Santo;centrosul;236;91;HAI;TEOÖNI et al. 2012
Pernambuco;nordamaz;124;60;IFI;BISPO et al. 2011
Para;nordamaz;350;155;HAI;BRAGA FILHO et al. 2011
Sao Paulo;centrosul;382;71;MAT/IFI;LANGONI et al. 2011
Rio de Janeiro;centrosul;360;137;IFI;LUCIANO et al. 2011
Maranhao;nordamaz;64;12;IFI;MORAES et al. 2011
Sao Paulo;centrosul;602;66;MAT/IFI;SILVA et al. 2011
Sao Paulo;centrosul;488;254;IFI;LOPES et al. 2010
Mato Grosso do Sul;centrosul;14;0;MAD;MARQUES et al. 2009
Alagoas;nordamaz;432;142;IFI;PINHEIRO et al. 2009
Rio Grande do Norte;nordamaz;409;73;IFI;SOARES et al. 2009
Parana;centrosul;167;43;ELISA;SOCCOL et al. 2009
Distrito Federal;centrosul;1028;364;IFI;UENO et al. 2009
Rio Grande do Sul;centrosul;9;3;HAI;MOTTA et al. 2008
Sao Paulo;centrosul;495;120;MAT;RAGOZO et al. 2008
Minas Gerais;centrosul;155;72;IFI;ROSSI 2008
Rio Grande do Norte;nordamaz;102;30;ELIS;CLEMENTINO et al. 2007
Parana;centrosul;157;1;IFI;MOURA et al. 2007
Parana;centrosul;305;157;IFI;ROMANELLI et al. 2007
Sao Paulo;centrosul;597;207;IFI;FIGLIUOLO et al. 2004
Sao Paulo;centrosul;200;62;ELISA;MEIRELES et al. 2003
Pernambuco;nordamaz;173;61;IFI;SILVA et al. 2003
Parana;centrosul;228;118;IFI;GARCIA et al. 1999
Bahia;nordamaz;240;45;LAT;GONDIM et al. 1999
Rio Grande do Sul;centrosul;100;39;RSF;LARSSON et al. 1980
